start_id,end_id,total,category
News,Startups,479.00000000000006,categories-categories
News,Investments,319.0,categories-categories
Startups,Investments,297.0,categories-categories
Miguel Cordon,News,230.0,author-categories
Doris Yu,News,225.0,author-categories
Miguel Cordon,Startups,198.0,author-categories
Doris Yu,Startups,184.0,author-categories
Doris Yu,Investments,155.0,author-categories
Miguel Cordon,Investments,132.0,author-categories
News,Fintech,92.0,categories-categories
Fintech,Investments,57.00000000000001,categories-categories
Startups,Fintech,47.0,categories-categories
Miguel Cordon,Fintech,40.0,author-categories
Transportation,News,39.0,categories-categories
News,Ecommerce,38.0,categories-categories
Miguel Cordon,fund,38.0,author-keywords
Doris Yu,Fintech,37.0,author-categories
Startups,Transportation,34.0,categories-categories
News,Artificial Intelligence,33.0,categories-categories
Premium Content,Analysis,33.0,categories-categories
TIA Visuals,Visual Stories,31.0,author-categories
Artificial Intelligence,Startups,31.0,categories-categories
money,series,30.8411214953271,keywords-keywords
Doris Yu,series,30.0,author-keywords
Opinion,Community,29.0,categories-categories
Miguel Cordon,series,29.0,author-keywords
Community,Startups,28.0,categories-categories
Doris Yu,fund,27.0,author-keywords
Premium Content,Profiles,25.0,categories-categories
Premium Content,Landscape reports,25.0,categories-categories
Landscape reports,Investments,25.0,categories-categories
Artificial Intelligence,Investments,24.0,categories-categories
fund,seed,22.429906542056074,keywords-keywords
Doris Yu,singapore,22.0,author-keywords
Investments,Premium Content,21.0,categories-categories
TIA Bot,Investments,21.0,author-categories
TIA Bot,Premium Content,21.0,author-categories
Doris Yu,Ecommerce,21.0,author-categories
TIA Bot,Landscape reports,21.0,author-categories
News,Acquisitions,20.0,categories-categories
Terence Lee,Premium Content,20.0,author-categories
Melissa Goh,Premium Content,20.0,author-categories
Opinion,Startups,20.0,categories-categories
Asia,Premium Content,20.0,categories-categories
Premium Content,Fintech,20.0,categories-categories
Acquisitions,Startups,19.0,categories-categories
fund,series,18.22429906542056,keywords-keywords
Miguel Cordon,money,18.0,author-keywords
Miguel Cordon,Transportation,18.0,author-categories
Ecommerce,Premium Content,18.0,categories-categories
Doris Yu,Artificial Intelligence,17.0,author-categories
Miguel Cordon,Ecommerce,17.0,author-categories
Miguel Cordon,singapore,17.0,author-keywords
Premium Content,Trends,16.0,categories-categories
Putra Muskita,Premium Content,15.0,author-categories
Miguel Cordon,seed,15.0,author-keywords
gojek,grab,14.018691588785046,keywords-keywords
Asia,Analysis,14.0,categories-categories
Miguel Cordon,grab,14.0,author-keywords
Aditya Hadi Pratama,Premium Content,14.0,author-categories
Willis Wee,Opinion,13.0,author-categories
Miguel Cordon,india,13.0,author-keywords
Kenan Machado,india,13.0,author-keywords
Doris Yu,indonesia,13.0,author-keywords
Stefanie Yeo,TIA Partnership,13.0,author-categories
Startups,Landscape reports,12.0,categories-categories
Miguel Cordon,hong kong,12.0,author-keywords
Doris Yu,india,12.0,author-keywords
TIA Visuals,Asia,12.0,author-categories
Visual Stories,Asia,12.0,categories-categories
Doris Yu,Transportation,12.0,author-categories
Kenan Machado,Premium Content,12.0,author-categories
Jonathan Burgos,News,12.0,author-categories
Miguel Cordon,indonesia,11.0,author-keywords
Avanish Tiwary,News,11.0,author-categories
Miguel Cordon,app,11.0,author-keywords
Doris Yu,money,11.0,author-keywords
Premium Content,Startups,11.0,categories-categories
Miguel Cordon,platform,11.0,author-keywords
Thu Huong Le,News,11.0,author-categories
Kenan Machado,News,11.0,author-categories
TIA Bot,Startups,11.0,author-categories
Miguel Cordon,Acquisitions,11.0,author-categories
TIA Visuals,series,10.0,author-keywords
Joseph Gan,Premium Content,10.0,author-categories
Moulishree Srivastava,News,10.0,author-categories
Melissa Goh,Trends,10.0,author-categories
News,Gaming,10.0,categories-categories
Jonathan Burgos,Announcements,10.0,author-categories
Henan Sun,News,10.0,author-categories
Terence Lee,Startups,10.0,author-categories
Melissa Goh,Profiles,10.0,author-categories
Doris Yu,platform,10.0,author-keywords
Avanish Tiwary,Startups,10.0,author-categories
Miguel Cordon,capital,10.0,author-keywords
Blockchain,News,10.0,categories-categories
fund,softbank,9.813084112149532,keywords-keywords
gojek,indonesia,9.813084112149532,keywords-keywords
Doris Yu,seed,9.0,author-keywords
Doris Yu,softbank,9.0,author-keywords
News,Analysis,9.0,categories-categories
Henan Sun,Startups,9.0,author-categories
Nathaniel Fetalvero,Startups,9.0,author-categories
Khamila Mulia,News,9.0,author-categories
Wency Chen,News,9.0,author-categories
Terence Lee,News,9.0,author-categories
Melissa Goh,Fintech,9.0,author-categories
Thu Huong Le,Startups,9.0,author-categories
Khamila Mulia,Startups,8.0,author-categories
Jack Ellis,Premium Content,8.0,author-categories
Joseph Gan,Startups,8.0,author-categories
Moulishree Srivastava,Startups,8.0,author-categories
Nathaniel Fetalvero,Asia,8.0,author-categories
Doris Yu,Acquisitions,8.0,author-categories
Aditya Hadi Pratama,indonesia,8.0,author-keywords
TIA Bot,tech,8.0,author-keywords
Putra Muskita,Asia,8.0,author-categories
Miguel Cordon,Artificial Intelligence,8.0,author-categories
Aditya Hadi Pratama,Startups,8.0,author-categories
Avanish Tiwary,india,7.0,author-keywords
Miguel Cordon,digital,7.0,author-keywords
Doris Yu,launch,7.0,author-keywords
Doris Yu,capital,7.0,author-keywords
Miguel Cordon,gojek,7.0,author-keywords
Putra Muskita,indonesia,7.0,author-keywords
Kenan Machado,Asia,7.0,author-categories
Miguel Cordon,softbank,7.0,author-keywords
TIA Visuals,Analysis,7.0,author-categories
Kenan Machado,Analysis,7.0,author-categories
Terence Lee,Announcements,7.0,author-categories
Terence Lee,Ecommerce,7.0,author-categories
Miguel Cordon,tech,7.0,author-keywords
"Vincent Fernando, CFA",Premium Content,7.0,author-categories
Putra Muskita,News,7.0,author-categories
Doris Yu,gojek,6.0,author-keywords
Doris Yu,jio,6.0,author-keywords
Jonathan Burgos,coronavirus,6.0,author-keywords
Doris Yu,facebook,6.0,author-keywords
Doris Yu,digital,6.0,author-keywords
Doris Yu,grab,6.0,author-keywords
Wency Chen,Startups,6.0,author-categories
Melissa Goh,News,6.0,author-categories
Song Jingli,News,6.0,author-categories
TIA Visuals,Investments,6.0,author-categories
Melissa Goh,Investments,6.0,author-categories
Henan Sun,china,5.0,author-keywords
Miguel Cordon,edtech,5.0,author-keywords
Wency Chen,bytedance,5.0,author-keywords
Doris Yu,app,5.0,author-keywords
TIA Bot,venture,5.0,author-keywords
TIA Bot,capital,5.0,author-keywords
Miguel Cordon,service,5.0,author-keywords
Doris Yu,china,5.0,author-keywords
Doris Yu,southeast,5.0,author-keywords
Betty Chum,Videos,5.0,author-categories
"Vincent Fernando, CFA",Analysis,5.0,author-categories
Doris Yu,service,5.0,author-keywords
Moulishree Srivastava,india,5.0,author-keywords
Winston Zhang,TIA Partnership,5.0,author-categories
Betty Chum,Events,5.0,author-categories
"Vincent Fernando, CFA",Opinion,5.0,author-categories
Melvin Chen,Videos,5.0,author-categories
Nathaniel Fetalvero,TIA Partnership,5.0,author-categories
Joseph Gan,News,5.0,author-categories
Melissa Goh,Startups,5.0,author-categories
Jack Ellis,News,5.0,author-categories
Putra Muskita,Investments,5.0,author-categories
TIA Visuals,Landscape reports,5.0,author-categories
Thu Huong Le,Investments,5.0,author-categories
Kenan Machado,Startups,5.0,author-categories
Melvin Chen,Asia,5.0,author-categories
Miguel Cordon,Blockchain,5.0,author-categories
"Vincent Fernando, CFA",News,5.0,author-categories
Joseph Gan,Profiles,4.0,author-categories
Nikki Natividad,Startups,4.0,author-categories
Cindy Silviana,News,4.0,author-categories
Miguel Cordon,Management,4.0,author-categories
TIA Visuals,Startups,4.0,author-categories
Jack Ellis,Analysis,4.0,author-categories
Aditya Hadi Pratama,News,4.0,author-categories
Nicole Jao,Premium Content,4.0,author-categories
Cindy Silviana,Startups,4.0,author-categories
Avanish Tiwary,Investments,4.0,author-categories
Song Jingli,Startups,4.0,author-categories
Stefanie Yeo,Artificial Intelligence,4.0,author-categories
Nikki Natividad,Premium Content,4.0,author-categories
Moulishree Srivastava,Investments,4.0,author-categories
Doris Yu,sea,4.0,author-keywords
TIA Bot,Fintech,4.0,author-categories
Miguel Cordon,jio,4.0,author-keywords
TIA Bot,china,4.0,author-keywords
Miguel Cordon,china,4.0,author-keywords
Doris Yu,tech,4.0,author-keywords
Jack Ellis,grab,4.0,author-keywords
Miguel Cordon,delivery,4.0,author-keywords
TIA Visuals,fund,4.0,author-keywords
TIA Bot,india,4.0,author-keywords
Miguel Cordon,launch,4.0,author-keywords
