id,article_count,comment_count,comment_avg,avatar
Miguel Cordon,231,40,0.17316017316017315,https://cdn.techinasia.com/wp-content/authors/270460.jpg?v=1553852315
Doris Yu,226,22,0.09734513274336283,https://cdn.techinasia.com/wp-content/authors/343208.jpeg?v=1575857720
Terence Lee,32,27,0.84375,https://cdn.techinasia.com/wp-content/authors/217.jpg?v=1538620392
TIA Visuals,31,0,0.0,https://cdn.techinasia.com/wp-content/authors/362928.png?v=1584436023
TIA Bot,22,43,1.9545454545454546,https://cdn.techinasia.com/wp-content/authors/181640.png?v=1522642269
Melissa Goh,21,6,0.2857142857142857,https://cdn.techinasia.com/wp-content/authors/300605.png?v=1564558072
Kenan Machado,19,6,0.3157894736842105,https://cdn.techinasia.com/wp-content/authors/347179.png?v=1579157920
Willis Wee,17,11,0.6470588235294118,https://cdn.techinasia.com/wp-content/authors/66.jpg?v=1521515068
Putra Muskita,17,6,0.35294117647058826,https://cdn.techinasia.com/wp-content/authors/32279.JPG?v=1522216698
Aditya Hadi Pratama,15,1,0.06666666666666667,https://cdn.techinasia.com/wp-content/authors/86192.jpg?v=1589642323
Nathaniel Fetalvero,15,8,0.5333333333333333,https://cdn.techinasia.com/wp-content/authors/167104.jpeg?v=1513679352
Jonathan Burgos,13,3,0.23076923076923078,https://cdn.techinasia.com/wp-content/authors/345426.png?v=1580260226
Stefanie Yeo,13,2,0.15384615384615385,https://cdn.techinasia.com/wp-content/authors/242465.jpg?v=1582102003
Henan Sun,11,1,0.09090909090909091,https://cdn.techinasia.com/wp-content/authors/348738.jpeg?v=1578387140
Thu Huong Le,11,0,0.0,https://cdn.techinasia.com/wp-content/authors/316461.jpg?v=1568282407
Joseph Gan,11,5,0.45454545454545453,https://cdn.techinasia.com/wp-content/authors/363483.png?v=1584615563
Avanish Tiwary,11,0,0.0,https://cdn.techinasia.com/wp-content/authors/318332.jpg?v=1568689590
Moulishree Srivastava,10,3,0.3,https://cdn.techinasia.com/wp-content/authors/324587.jpg?v=1570183026
Jack Ellis,9,8,0.8888888888888888,https://cdn.techinasia.com/wp-content/authors/124235.png?v=1494316730
Khamila Mulia,9,4,0.4444444444444444,https://cdn.techinasia.com/wp-content/authors/318046.jpg?v=1568621747
Wency Chen,9,1,0.1111111111111111,https://cdn.techinasia.com/wp-content/authors/317267.jpeg?v=1568365387
Betty Chum,8,2,0.25,https://cdn.techinasia.com/wp-content/authors/307607.JPG?v=1575622549
"Vincent Fernando, CFA",7,12,1.7142857142857142,https://cdn.techinasia.com/wp-content/authors/300693.jpg?v=1581409752
Song Jingli,6,1,0.16666666666666666,https://cdn.techinasia.com/wp-content/authors/320804.jpeg?v=1569470101
Melvin Chen,5,1,0.2,https://cdn.techinasia.com/wp-content/authors/172100.jpg?v=1532583797
Winston Zhang,5,3,0.6,https://cdn.techinasia.com/wp-content/authors/178902.jpg?v=1519311936
Masha Borak,4,0,0.0,https://cdn.techinasia.com/wp-content/authors/233934.jpg?v=1566984686
Nikki Natividad,4,0,0.0,https://cdn.techinasia.com/wp-content/authors/296626.jpg?v=1562976703
